物品ID,GroupID,名字,物品类,物品小类,使用国籍,使用职业,使用职业分支,使用等级,天境等级,叠放数量,买入基础价格,卖出基础价格,基础物品档次,拾取后广播标志,拥有最多个数,能否放快捷栏,绑定标志位,使用期限,死亡掉落固定概率,物品栏图片_正常,物品栏图片_高亮,物品栏图片_无效,物品图标光效ID,宝箱外观资源ID,宝箱闪烁资源ID,是否任务物品,描述,任务物品丢弃时可以配置,使用次数,作用id,浮动提示,是否需要掷骰子,是否同步扩展数据,怪物掉装的音效ID,跨服海盗,物品价值/礼包售价,价值类型0普通1礼包2绑金,家园仓库0不可1可
52902,52902,定乾坤(2级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4493,4493,4493,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将定乾坤升到2级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52902,,3,0,0,0,1,0,0
52903,52903,逆天命(2级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4498,4498,4498,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将逆天命升到2级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52903,,3,0,0,0,1,0,0
52904,52904,相思令(2级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4508,4508,4508,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将相思令升到2级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52904,,3,0,0,0,1,0,0
52905,52905,云雾敛(2级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4626,4626,4626,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将云雾敛升到2级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52905,,3,0,0,0,1,0,0
52906,52906,秋千索(2级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4611,4611,4611,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将秋千索升到2级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52906,,3,0,0,0,1,0,0
52907,52907,破阵子(2级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4616,4616,4616,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将破阵子升到2级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52907,,3,0,0,0,1,0,0
52908,52908,闲中好(2级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4621,4621,4621,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将闲中好升到2级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52908,,3,0,0,0,1,0,0
52909,52909,断苍穹(3级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4484,4484,4484,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将断苍穹升到3级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52909,,3,0,0,0,1,0,0
52910,52910,驭九天(3级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4489,4489,4489,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将驭九天升到3级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52910,,3,0,0,0,1,0,0
52911,52911,定乾坤(3级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4494,4494,4494,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将定乾坤升到3级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52911,,3,0,0,0,1,0,0
52912,52912,逆天命(3级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4499,4499,4499,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将逆天命升到3级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52912,,3,0,0,0,1,0,0
52913,52913,相思令(3级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4607,4607,4607,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将相思令升到3级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52913,,3,0,0,0,1,0,0
52914,52914,云雾敛(3级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4627,4627,4627,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将云雾敛升到3级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52914,,3,0,0,0,1,0,0
52915,52915,秋千索(3级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4612,4612,4612,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将秋千索升到3级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52915,,3,0,0,0,1,0,0
52916,52916,破阵子(3级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4617,4617,4617,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将破阵子升到3级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52916,,3,0,0,0,1,0,0
52917,52917,闲中好(3级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4622,4622,4622,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将闲中好升到3级[/yellow]<br>[red]10本技能书可以合成下一等级技能书[/red],,1,52917,,3,0,0,0,1,0,0
52918,52918,断苍穹(4级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4485,4485,4485,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将断苍穹升到4级[/yellow],,1,52918,,3,0,0,0,1,0,0
52919,52919,驭九天(4级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4490,4490,4490,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将驭九天升到4级[/yellow],,1,52919,,3,0,0,0,1,0,0
52920,52920,定乾坤(4级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4495,4495,4495,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将定乾坤升到4级[/yellow],,1,52920,,3,0,0,0,1,0,0
52921,52921,逆天命(4级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4500,4500,4500,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将逆天命升到4级[/yellow],,1,52921,,3,0,0,0,1,0,0
52922,52922,相思令(4级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4608,4608,4608,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将相思令升到4级[/yellow],,1,52922,,3,0,0,0,1,0,0
52923,52923,云雾敛(4级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4628,4628,4628,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将云雾敛升到4级[/yellow],,1,52923,,3,0,0,0,1,0,0
52924,52924,秋千索(4级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4613,4613,4613,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将秋千索升到4级[/yellow],,1,52924,,3,0,0,0,1,0,0
52925,52925,破阵子(4级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4618,4618,4618,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将破阵子升到4级[/yellow],,1,52925,,3,0,0,0,1,0,0
52926,52926,闲中好(4级),2,12,0,10000,10000,40,,1000,100,1,5,33,0,0,124,0,0,4623,4623,4623,0,1003,1008,0,[yellow]天神技能书，打开技能升级界面使用，可将闲中好升到4级[/yellow],,1,52926,,3,0,0,0,1,0,0
53156,53156,凝神锁,2,12,0,10000,10000,40,,9999,100,1,5,33,0,0,124,0,0,4345,4345,4345,0,1003,1008,0,[green]天神专用，凝静之气乃能生神[/green]<br>[yellow]打开天神技能学习界面使用，点击技能图标后可锁定技能，被锁定的技能在下次学习中不会被替换（只生效一次）[/yellow],,1,53156,,3,0,0,0,3000,0,0
53157,53157,寻梦,2,12,0,10000,10000,40,,9999,100,1,5,33,0,0,124,0,0,4346,4346,4346,0,1003,1008,0,[green]天神专用，铃声入耳，寻梦追忆[/green]<br>[yellow]打开天神技能学习界面使用，可增加技能升级的概率[/yellow]<br><br>[red]若技能升级失败将返还圣灵果（绑定），返还数量是消耗寻梦的数量的两倍[/red],,1,53157,,3,0,0,0,4000,0,0
53165,53165,新年福利（天神会员6-10级）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1413,1413,1413,0,1003,1008,0,右键开启可获得[yellow]<br>10万绑金<br>鸾凤和鸣时装卡(30天)*1<br>童年风车（不绑）*1<br>修为果*300<br>500万翅膀经验*8<br>天神精元（箕水豹）*1[/yellow],,1,53165,,0,0,0,0,1,0,0
53166,53166,新年福利（天神会员1-5级）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1414,1414,1414,0,1003,1008,0,右键开启可获得[yellow]<br>10万绑金<br>鸾凤和鸣时装卡(30天)*1<br>童年风车（不绑）*1<br>修为果*250<br>500万翅膀经验*8<br>天神精元（小訫、胡九二选一）*1[/yellow],,1,53166,,0,0,0,0,1,0,0
53167,53167,新年福利（逆天会员）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1415,1415,1415,0,1003,1008,0,右键开启可获得[yellow]<br>10万绑金<br>鸾凤和鸣时装卡(30天)*1<br>童年风车（不绑）*1<br>修为果*200<br>500万翅膀经验*6<br>天神精元（小訫、胡九二选一）*1[/yellow],,1,53167,,0,0,0,0,1,0,0
53168,53168,新年福利（绝世会员）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1416,1416,1416,0,1003,1008,0,右键开启可获得[yellow]<br>8万绑金<br>鸾凤和鸣时装卡(15天)*1<br>修为果*150<br>500万翅膀经验*4<br>高级真气丹*50<br>圣灵果*40[/yellow],,1,53168,,0,0,0,0,1,0,0
53169,53169,新年福利（倚天会员）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1417,1417,1417,0,1003,1008,0,右键开启可获得[yellow]<br>6万绑金<br>鸾凤和鸣时装卡(15天)*1<br>修为果*120<br>500万翅膀经验*3<br>高级真气丹*40<br>圣灵果*30[/yellow],,1,53169,,0,0,0,0,1,0,0
53170,53170,新年福利（神话会员）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1421,1421,1421,0,1003,1008,0,右键开启可获得[yellow]<br>5万绑金<br>鸾凤和鸣时装卡(15天)*1<br>修为果*100<br>500万翅膀经验*2<br>高级真气丹*40<br>圣灵果*24[/yellow],,1,53170,,0,0,0,0,1,0,0
53171,53171,新年福利（至尊会员）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1880,1880,1880,0,1003,1008,0,右键开启可获得[yellow]<br>4万绑金<br>鸾凤和鸣时装卡(15天)*1<br>修为果*80<br>500万翅膀经验*1<br>高级真气丹*30<br>圣灵果*18[/yellow],,1,53171,,0,0,0,0,1,0,0
53172,53172,新年福利（传说会员）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1418,1418,1418,0,1003,1008,0,右键开启可获得[yellow]<br>3万绑金<br>鸾凤和鸣时装卡(15天)*1<br>修为果*50<br>500万翅膀经验*1<br>高级真气丹*20<br>圣灵果*12[/yellow],,1,53172,,0,0,0,0,1,0,0
53173,53173,新年福利（5-6级会员）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1413,1413,1413,0,1003,1008,0,右键开启可获得[yellow]<br>2万绑金<br>鸾凤和鸣时装卡(15天)*1<br>黄金符文*30<br>羽灵石（一档）*100<br>圣灵果*8[/yellow],,1,53173,,0,0,0,0,1,0,0
53174,53174,新年福利（3-4级会员）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1414,1414,1414,0,1003,1008,0,右键开启可获得[yellow]<br>1万绑金<br>黄金符文*20<br>羽灵石（一档）*50<br>圣灵果*5[/yellow],,1,53174,,0,0,0,0,1,0,0
53175,53175,新年福利（1-2级会员）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1415,1415,1415,0,1003,1008,0,右键开启可获得[yellow]<br>5000绑金<br>黄金符文*10<br>羽灵石（一档）*30<br>圣灵果*3[/yellow],,1,53175,,0,0,0,0,1,0,0
53176,53176,新年福利,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,1416,1416,1416,0,1003,1008,0,右键开启可获得[yellow]<br>2000绑金<br>羽灵石（一档）*10[/yellow],,1,53176,,0,0,0,0,1,0,0
53177,53177,天神精元（箕水豹）,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,4571,4571,4571,0,1003,1008,0,[yellow]开启获得对应职业的箕水豹天神（绑定）[/yellow],,1,53177,,0,0,0,0,1,0,0
53178,53178,天神精元,2,12,0,10000,10000,40,,1,100,1,5,0,0,0,61,0,0,2743,2743,2743,0,1003,1008,0,右键点击可选择开启天神<br>[yellow]小訫[/yellow]<br>或<br>[yellow]胡九[/yellow],,1,53178,,0,0,0,0,1,0,0
53179,53179,诚意法宝签到礼包,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,4327,4327,4327,0,1003,1008,0,[yellow]开启可获得丰厚法宝材料奖励[/yellow]<br>[red]每日签到拥有45点活跃度免费获得[/red],,1,53179,,0,0,0,0,300,0,0
53180,53180,珍稀法宝签到礼包,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,4328,4328,4328,0,1003,1008,0,[yellow]开启可获得丰厚法宝材料奖励[/yellow]<br>[red]每日签到拥有60点活跃度免费获得[/red],,1,53180,,0,0,0,0,500,0,0
53181,53181,诚意铁骑签到礼包,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,4327,4327,4327,0,1003,1008,0,[yellow]开启可获得丰厚铁骑材料奖励[/yellow]<br>[red]每日签到拥有45点活跃度免费获得[/red],,1,53181,,0,0,0,0,300,0,0
53182,53182,珍稀铁骑签到礼包,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,4328,4328,4328,0,1003,1008,0,[yellow]开启可获得丰厚铁骑材料奖励[/yellow]<br>[red]每日签到拥有60点活跃度免费获得[/red],,1,53182,,0,0,0,0,500,0,0
53183,53183,诚意天神签到礼包,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,4327,4327,4327,0,1003,1008,0,[yellow]开启可获得天神材料奖励[/yellow]<br>[red]每日签到拥有45点活跃度免费获得[/red],,1,53183,,0,0,0,0,300,0,0
53184,53184,珍稀天神签到礼包,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,4328,4328,4328,0,1003,1008,0,[yellow]开启可获得丰厚天神材料奖励[/yellow]<br>[red]每日签到拥有60点活跃度免费获得[/red],,1,53184,,0,0,0,0,500,0,0
52845,52845,天神奇兵,2,12,0,10000,10000,40,,10,100,1,1,0,0,0,124,0,0,3184,3184,3184,0,1003,1008,0,记载着上古天神智慧的一部奇书<br>[yellow]右键打开可选择任意一种职业的天神转职道具，可将天神转职为对应职业[/yellow],,1,52845,,0,0,0,0,1,0,0
53150,53150,红糖生姜水,2,12,0,10000,10000,60,,10,100,1,1,33,0,0,61,0,0,4157,4157,4157,0,4427,4050,0,生姜、红糖慢慢熬制而出<br>[yellow]右键使用后可减少怀孕时间，一天即可生育[/yellow]<br>[red]仅限于怀孕方使用，怀孕时间剩余不足一天不可使用[/red],,1,53150,,3,0,0,0,1,0,0
53151,53151,椰子鸡,2,12,0,10000,10000,60,,10,100,1,1,33,0,0,61,0,0,4153,4153,4153,0,4427,4050,0,飘香的椰子鸡，远远就能闻到它的香味<br>[yellow]使用后减少怀孕时间[/yellow],,1,53151,,3,0,0,0,1,0,0
53152,53152,咕噜肉,2,12,0,10000,10000,60,,10,100,1,1,33,0,0,61,0,0,4154,4154,4154,0,4427,4050,0,酸酸甜甜的咕噜肉，想想都很美味<br>[yellow]洞房前使用将无视怀孕成功率，100%男方怀孕[/yellow]<br>[red]咕噜肉和双生花不可同时使用[/red]<br>[red]离婚将清除效果[/red],,1,53152,,3,0,0,0,1,0,0
53153,53153,双生花,2,12,0,10000,10000,60,,10,100,1,1,33,0,0,61,0,0,4155,4155,4155,0,4427,4050,0,一朵吸收阳光为能量，一朵吸收月光为能量，时刻为自己补充着生命能量<br>[yellow]洞房前使用将无视怀孕成功率，100%怀孕双胞胎[/yellow]<br>[red]咕噜肉、玉树盈星和双生花不可同时使用[/red]<br>[red]离婚将清除效果[/red],,1,53153,,3,0,0,0,1,0,0
53154,53154,深海鱼油,2,12,0,10000,10000,60,,10,100,1,1,33,0,0,61,0,0,4156,4156,4156,0,4427,4050,0,富含多种营养的鱼油[yellow]右键使用可激发生育能力，胎数往前回退一胎[/yellow],,1,53154,,3,0,0,0,1,0,0
53155,53155,亲密度礼包,2,12,0,10000,10000,60,,10,100,1,1,33,0,0,61,0,0,1417,1417,1417,0,4427,4050,0,[yellow]右键使用可获得1000亲密度[/yellow],,1,53155,,3,0,0,0,1,0,0
53185,53185,普通赤血丹,2,17,0,10000,10000,10,,1000,100,1,7,33,0,1,124,0,0,1385,1385,1385,0,1003,1008,0,商城道具<br><br>点击使用<br>冷却时间：6秒<br>每次使用最大恢复8%生命值，最少恢复500-1200[red](根据角色等级变化)[/red]生命值<br>[red]注：PK必备药品，普通恢复类药品可在杂货商处购买[/red],,0,53185,,3,1,0,0,10,0,0
53186,53186,高级赤血丹,2,17,0,10000,10000,10,,1000,100,1,7,33,0,1,124,0,0,1386,1386,1386,0,1003,1008,0,商城道具<br><br>点击使用<br>冷却时间：6秒<br>每次使用最大恢复12%生命值，最少恢复750-1500[red](根据角色等级变化)[/red]生命值<br>[red]注：PK必备药品，普通恢复类药品可在杂货商处购买[/red],,0,53186,,3,1,0,0,40,0,0
53187,53187,精品赤血丹,2,17,0,10000,10000,10,,1000,100,1,7,33,0,1,124,0,0,2976,2976,2976,0,1003,1008,0,商城道具<br><br>点击使用<br>冷却时间：6秒<br>每次使用最大恢复15%生命值，最少恢复1000-2500[red](根据角色等级变化)[/red]生命值<br>[red]注：PK必备药品，普通恢复类药品可在杂货商处购买[/red],,0,53187,,3,1,0,0,1,0,0
53188,53188,豪礼翅膀礼包,2,12,0,10000,10000,10,,9999,100,1,1,0,0,0,61,0,0,1414,1414,3613,0,4427,4050,0,右键开启获得<br>[yellow]50万翅膀经验[/yellow]<br>或<br>[yellow]羽灵石5个[/yellow],,1,53188,,0,0,0,0,1,0,0
53189,53189,豪礼铁骑礼包,2,12,0,10000,10000,10,,1000,100,1,1,0,0,0,61,0,0,1415,1415,1415,0,4427,4050,0,右键开启获得<br>[yellow]文韬*10[/yellow]<br>[yellow]武韬*10[/yellow],,1,53189,,0,0,0,0,1,0,0
53190,53190,请假条,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,17,0,0,725,725,725,0,4427,4050,0,用于假期后5月6日-5月10日领奖<br>[yellow]如果拥有假期次数，则可以用请假条兑换假期奖励[/yellow]<br>[yellow]当没有假期次数时，可以直接用来兑换绑金。[/yellow]<br>4月30日-5月5日每天在微信签到，领取一个。<br>[red]活动结束后可右键开启绑金[/red],,1,53190,,0,0,0,0,1,0,0
53191,53191,圣传碎片,2,12,0,10000,10000,10,,50,10000,100,5,0,0,0,124,0,0,4347,4347,4347,0,4427,4050,0,[yellow]圣传破碎后残留下来的碎片。据说集齐20个可炼成圣传法宝[/yellow]<br><br>[red]注意：不管法宝图鉴绑定与否，炼成的法宝一定是绑定的[/red],,1,53191,,0,0,0,0,1,0,0
53206,53206,表白豪华礼包,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1417,1417,1417,0,4427,4050,0,爱·表白排行榜第一名礼包<br>[yellow]3万绑金<br>咕噜肉<br>深海鱼油[/yellow],,1,53206,,0,0,0,0,1,0,0
53207,53207,表白高级礼包,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1420,1420,1420,0,4427,4050,0,爱·表白排行榜第二、三名礼包<br>[yellow]2万绑金<br>双生花<br>深海鱼油[/yellow],,1,53207,,0,0,0,0,1,0,0
53208,53208,表白中级礼包,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1418,1418,1418,0,4427,4050,0,爱·表白排行榜第四至十名礼包<br>[yellow]1万绑金<br>深海鱼油[/yellow],,1,53208,,0,0,0,0,1,0,0
53209,53209,一见倾情礼包,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1421,1421,1421,0,4427,4050,0,右键选择开启<br>[yellow]咕噜肉（服用后100%怀孕生胡巴）或鲜花朵朵30天*3[/yellow],,1,53209,,0,0,0,0,1,0,0
53210,53210,一见倾心礼包,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1414,1414,1414,0,4427,4050,0,右键选择开启<br>[yellow]心月狐（二阶蓝色天神）<br>或红颜妒（遁）[/yellow],,1,53210,,0,0,0,0,1,0,0
53211,53211,房日兔,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,4573,4573,4573,0,4427,4050,0,右键开启获得对应职业天神：房日兔,,1,53211,,0,0,0,0,1,0,0
53212,53212,红颜妒,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,3519,3519,3519,0,4427,4050,0,右键开启获得红颜妒（遁）,,1,53212,,0,0,0,0,1,0,0
53213,53213,假期礼包,2,12,0,10000,10000,70,,10,100,1,1,0,0,0,61,0,0,1415,1415,1415,0,4427,4050,0,右键开启获得<br>[yellow]当前文明等级对应的丰厚奖励[/yellow]<br>[red]在假期活动中，领取假期礼包获得[/red]<br>[red]70级以上才可开启[/red],,1,53213,,0,0,0,0,1,0,0
53214,53214,500绑金袋,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1414,1414,1414,0,4427,4050,0,右键开启获得<br>[yellow]500绑金[/yellow]<br>[red]在假期活动中，用额外多余的请假条兑换获得[/red],,1,53214,,0,0,0,0,250,2,0
53215,53215,1000绑金袋,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1414,1414,1414,0,4427,4050,0,右键开启获得<br>[yellow]1000绑金[/yellow]<br>[red]在假期活动中，用额外多余的请假条兑换获得[/red],,1,53215,,0,0,0,0,500,2,0
53216,53216,1800绑金袋,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1414,1414,1414,0,4427,4050,0,右键开启获得<br>[yellow]1800绑金[/yellow]<br>[red]在假期活动中，用额外多余的请假条兑换获得[/red],,1,53216,,0,0,0,0,900,2,0
53217,53217,3000绑金袋,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1414,1414,1414,0,4427,4050,0,右键开启获得<br>[yellow]3000绑金[/yellow]<br>[red]在假期活动中，用额外多余的请假条兑换获得[/red],,1,53217,,0,0,0,0,1500,2,0
53218,53218,4500绑金袋,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1414,1414,1414,0,4427,4050,0,右键开启获得<br>[yellow]4500绑金[/yellow]<br>[red]在假期活动中，用额外多余的请假条兑换获得[/red],,1,53218,,0,0,0,0,2250,2,0
53219,53219,6000绑金袋,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1414,1414,1414,0,4427,4050,0,右键开启获得<br>[yellow]6000绑金[/yellow]<br>[red]在假期活动中，用额外多余的请假条兑换获得[/red],,1,53219,,0,0,0,0,3000,2,0
53220,53220,8000绑金袋,2,12,0,10000,10000,10,,10,100,1,1,0,0,0,61,0,0,1414,1414,1414,0,4427,4050,0,右键开启获得<br>[yellow]8000绑金[/yellow]<br>[red]在假期活动中，用额外多余的请假条兑换获得[/red],,1,53220,,0,0,0,0,4000,2,0
53158,53158,新春爆竹,2,12,0,10000,10000,40,,100,1000,100,1,0,0,0,61,0,0,1777,1777,1777,0,4427,4050,0,[yellow]攻击大首领“年”所需的道具[/yellow]<br>[red]击杀年兽怪物“夕”掉落[/red],,1,53158,,0,0,0,0,1,0,0
53159,53159,个人拜年卡,2,12,0,10000,10000,40,,100,100,1,1,0,0,0,61,0,0,721,721,721,0,4427,4050,0,[yellow]用于向其他玩家拜年，使用后获得一个个人拜年礼包，对方获得一个新年利是[/yellow]<br>用法：右击头像选择赠送礼物来赠送拜年卡<br>[red]击杀年兽怪物“夕”掉落[/red],,1,,,0,0,0,0,1,0,0
53160,53160,全国拜年卡,2,12,0,10000,10000,40,,100,100,1,1,0,0,0,61,0,0,722,722,722,0,4427,4050,0,[yellow]用于向本国玩家拜年，使用后获得一个全国拜年礼包，与该玩家同一国的在线其他玩家获得一次抢全国红包的机会[/yellow]<br>[blue]仅可在活动中使用[/blue]<br>[red]使用新春爆竹获得[/red],,1,53160,,0,0,0,0,1,0,0
53161,53161,全服拜年卡,2,12,0,10000,10000,40,,100,100,1,1,0,0,0,61,0,0,723,723,723,0,4427,4050,0,[yellow]用于向全服玩家拜年，使用后获得一个全服拜年礼包，全服所有在线玩家获得一次抢全服红包的机会[/yellow]<br>[blue]仅可在活动中使用[/blue]<br>[red]击杀变异“夕”或击杀大首领“年”掉落[/red],,1,53161,,0,0,0,0,1,0,0
53162,53162,个人拜年礼包,2,12,0,10000,10000,40,,100,100,1,1,0,0,0,61,0,0,1413,1413,1413,0,4427,4050,0,右键开启获得<br>[yellow]100绑金[/yellow],,1,53162,,0,0,0,0,1,0,0
53163,53163,全国拜年礼包,2,12,0,10000,10000,40,,100,100,1,1,0,0,0,61,0,0,1414,1414,1414,0,4427,4050,0,右键开启获得<br>[yellow]500绑金[/yellow],,1,53163,,0,0,0,0,1,0,0
53164,53164,全服拜年礼包,2,12,0,10000,10000,40,,100,100,1,1,0,0,0,61,0,0,1415,1415,1415,0,4427,4050,0,右键开启获得<br>[yellow]800绑金[/yellow],,1,53164,,0,0,0,0,1,0,0
53221,53221,新年利是,2,12,0,10000,10000,40,,100,100,1,1,0,0,0,61,0,0,1416,1416,1416,0,4427,4050,0,右键开启获得<br>[yellow]20绑金[/yellow],,1,53221,,0,0,0,0,1,0,0
53222,53222,天神易名符,2,12,0,10000,10000,40,,100,100,1,1,0,0,0,124,0,0,2701,2701,2701,0,4427,4050,0,[blue]打开天神界面使用，可更改天神的名字[/blue]<br><br>[yellow]<br>商城购买[/yellow],,1,,,0,0,0,0,2000,0,0
53224,53224,房日兔卡,2,12,0,10000,10000,40,,100,100,1,1,0,0,0,124,0,0,4573,4573,4573,0,4427,4050,0,房日兔卡<br>[green]3[/green]个[yellow]房日兔卡[/yellow]，可以合成[green]1[/green]个蓝色二阶天神[yellow]房日兔[/yellow]<br>[red]注：合成后为绑定[/red],,1,53224,,0,0,0,0,1,0,0
53225,53225,混元伞碎片,2,12,0,10000,10000,40,,100,100,1,1,0,0,0,124,0,0,2989,2989,2989,0,4427,4050,0,混元伞碎片<br>[green]3[/green]个[yellow]混元伞碎片[/yellow]，可以合成[green]1[/green]个全新稀有法宝[yellow]混元伞（遁律令）[/yellow]<br>[red]注：合成后为绑定<br>可使用乾坤炉将1个碎片分解为冥之精华*4或共工精粹*2或祝融精粹*2[/red],,1,53225,,0,0,0,0,1,0,0
53226,53226,萌宠之恋时装卡（365天）,2,12,0,10000,10000,40,,999,100,1,1,0,0,0,124,0,0,1419,1419,1419,0,4427,4050,0,萌宠之恋时装卡<br>[yellow]右键点击开启，获得相应性别时装<br>使用期限365天[/yellow]<br>[red]注：时装卡开启后为绑定时装[/red],,1,53226,,0,0,0,0,8800,0,0
